step,time,control,f1_palm,f2_palm,f1_tip,f2_tip,t1_length,t2_length,palm_diff,tip_diff,tendon_diff,contacts
0,0.0,1.0,-0.5357403302431197,-0.5258030941921421,0.14638193301580213,0.14366675213816235,0.15142480085651708,0.15142480085651708,0.009937236050977627,0.002715180877639778,0.0,0
10,0.01,1.0,-12.747664834830017,-12.62956910930009,0.35271506134025654,0.3535681858522705,0.15363204087167548,0.15360976590693534,0.1180957255299262,0.0008531245120139697,2.227496474013768e-05,0
20,0.02,1.0,-25.475962915747573,-25.34889253420426,0.27207306910328183,0.2723930070159989,0.1559408541881247,0.15591935498347934,0.1270703815433123,0.00031993791271706096,2.1499204645364367e-05,0
30,0.03,1.0,-36.98083105604236,-36.83714134304443,0.19408364258192692,0.19434034870408437,0.15782098288328963,0.15779948920039868,0.14368971299793287,0.00025670612215744626,2.149368289094955e-05,0
40,0.04,1.0,-47.13164406963759,-46.96598017174517,0.12614288211123184,0.1263122362008758,0.15927786753166284,0.15925639194645916,0.16566389789241498,0.00016935408964396936,2.147558520368409e-05,0
50,0.05,1.0,-55.945649978877825,-55.7520014328562,0.06972144535272123,0.06978267448044835,0.16036908905180883,0.16034763873015406,0.1936485460216275,6.122912772711653e-05,2.145032165476457e-05,0
60,0.06,1.0,-63.51461977199935,-63.285968673946186,0.024678859497828897,0.024589668959049835,0.16116673667020173,0.16114532042807,0.22865109805316308,8.919053877906244e-05,2.141624213172766e-05,0
70,0.07,1.0,-69.96571168434892,-69.69371537656538,-0.010002814705686532,-0.010310341714100234,0.16173956150480162,0.161718192840282,0.2719963077835388,0.0003075270084137022,2.13686645196276e-05,0
80,0.08,1.0,-75.43693027805935,-75.11155603841705,-0.03572383364928849,-0.036349553920548415,0.1621455552326591,0.16212425471409408,0.3253742396423007,0.0006257202712599275,2.1300518565026128e-05,0
90,0.09,1.0,-80.06308264070374,-79.67219243404875,-0.05396240080531183,-0.05504739752718679,0.1624303846895973,0.16240918353148562,0.3908902066549871,0.0010849967218749604,2.1201158111688878e-05,0
100,0.1,1.0,-83.96861228960444,-83.49751086420605,-0.06610829825437062,-0.06784722499009514,0.16262852323661806,0.16260746871866416,0.4711014253983876,0.0017389267357245247,2.105451795389457e-05,0
110,0.11,1.0,-87.26457810705668,-86.69558321226057,-0.07338561669396888,-0.07604167720460922,0.16276529106536228,0.1627444547017314,0.5689948947961057,0.0026560605106403373,2.0836363630871713e-05,0
120,0.12,1.0,-90.04790611199405,-89.36009265825155,-0.07682929627589301,-0.08074978328992963,0.162858944224785,0.16283843373173038,0.6878134537425069,0.003920487014036619,2.0510493054626266e-05,0
130,0.13,1.0,-92.05749532734873,-91.32768615924242,-0.0930371839163397,-0.0974775836483937,0.16291566480697556,0.16289739139144785,0.7298091681063141,0.004440399732054012,1.827341552770867e-05,0
140,0.14,1.0,-93.26180523082417,-92.47760541678947,-0.09660921558661367,-0.1068499358253218,0.1629444363024758,0.16292728889244165,0.7841998140346931,0.010240720238708131,1.7147410034140664e-05,0
150,0.15,1.0,-93.95079731088946,-93.10197091837985,-0.09285182371283121,-0.10759146063888972,0.16295916052860007,0.16294205910252285,0.8488263925096078,0.014739636926058508,1.710142607722065e-05,0
160,0.16,1.0,-94.31327065144056,-93.41457109605166,-0.08539538966124789,-0.10304320908847567,0.1629664445214908,0.1629491032353259,0.8986995553889017,0.017647819427227776,1.734128616490138e-05,0
170,0.17,1.0,-94.4761114962765,-93.55069406089015,-0.07624169723100178,-0.09575601507415457,0.16296966221670278,0.1629521398034583,0.9254174353863505,0.019514317843152787,1.7522413244486224e-05,0
180,0.18,1.0,-94.5243166180842,-93.5913282579044,-0.06659500525335005,-0.08740017273946592,0.162970670323119,0.1629530974347551,0.9329883601798059,0.02080516748611587,1.7572888363875938e-05,0
190,0.19,1.0,-94.51293739333701,-93.58316990641168,-0.05721849904193081,-0.07892926178254522,0.1629705437609888,0.16295300444528854,0.9297674869253285,0.02171076274061441,1.7539315700254576e-05,0
200,0.2,1.0,-94.4755799386436,-93.55260007365335,-0.04857817900528974,-0.07081798436770459,0.16296991008552342,0.16295242134335966,0.9229798649902534,0.02223980536241485,1.7488742163757065e-05,0
210,0.21,1.0,-94.43107016985743,-93.51438094985188,-0.040911585335874856,-0.06327237316320371,0.16296912050390913,0.16295165905299538,0.9166892200055514,0.02236078782732885,1.746145091374718e-05,0
220,0.22,1.0,-94.38874161424911,-93.47657840685625,-0.034285208580042026,-0.056368698224812296,0.16296835370437607,0.16295088938324986,0.9121632073928652,0.02208348964477027,1.7464321126203775e-05,0
230,0.23,1.0,-94.35238606977538,-93.44322961263575,-0.028654483511020557,-0.05012429737322219,0.16296768630804406,0.1629502011134561,0.9091564571396304,0.02146981386220163,1.7485194587968378e-05,0
240,0.24,1.0,-94.32291140231747,-93.41587289941435,-0.023917764207525095,-0.044525693617317286,0.1629671401177903,0.1629496308465054,0.90703850290312,0.02060792940979219,1.7509271284882333e-05,0
250,0.25,1.0,-94.2999155743035,-93.39455350741618,-0.0199550294363666,-0.039538796227524174,0.16296671094313925,0.1629491830981226,0.9053620668873208,0.019583766791157572,1.7527845016657162e-05,0
260,0.26,1.0,-94.28250163128601,-93.3785436414924,-0.016649597643154435,-0.035115306733336606,0.16296638409765218,0.1629488450067887,0.9039579897936107,0.01846570909018217,1.7539090863494256e-05,0
270,0.27,1.0,-94.26965182498773,-93.36683659827386,-0.013897043979859641,-0.031199483400939178,0.16296614179511545,0.1629485968011346,0.9028152267138694,0.017302439421079535,1.75449939808503e-05,0
280,0.28,1.0,-94.26038860266557,-93.358438747051,-0.011607051955821691,-0.027734483066174556,0.16296596645795702,0.16294841824841833,0.9019498556145749,0.016127431110352863,1.7548209538698067e-05,0
290,0.29,1.0,-94.2538459007298,-93.35250231058001,-0.009702519622126404,-0.024666815885482477,0.16296584224158872,0.1629482917634466,0.9013435901497928,0.014964296263356073,1.75504781421143e-05,0
300,0.3,1.0,-94.24930082344251,-93.34835713733395,-0.008118107504257966,-0.02194850616241416,0.1629657557565288,0.16294820329969625,0.9009436861085618,0.013830398658156195,1.7552456832548025e-05,0
310,0.31,1.0,-94.2461811623889,-93.34549404968314,-0.006798892186945723,-0.019537513737139144,0.16296569630424712,0.1629481421207066,0.9006871127057536,0.01273862155019342,1.7554183540519075e-05,0
320,0.32,1.0,-94.24405500352154,-93.34353403037107,-0.005699128967119552,-0.01739725555871495,0.16296565575095642,0.1629481002049267,0.9005209731504635,0.011698126591595397,1.7555546029723867e-05,0
